id,heavy,light,antigen,playload,linker,dar,label
DRG0KSALF,protein_10,protein_154,protein_263,molecule_48,molecule_83,4.1,1
DRG0QMQFL,protein_104,protein_231,protein_285,molecule_5,molecule_75,4.0,1
DRG0XBJHU,protein_26,protein_167,protein_272,molecule_6,molecule_76,3.5,1
DRG0CGKQT,protein_7,protein_150,protein_261,molecule_5,molecule_75,4.0,1
DRG0ZXCSM,protein_1,protein_144,protein_256,molecule_61,molecule_138,7.9,1
DRG0BRYIM,protein_12,protein_145,protein_257,molecule_6,molecule_76,3.5,0
DRG0VBVDR,protein_1,protein_144,protein_256,molecule_14,molecule_73,1.7,1
DRG0EFAMN,protein_33,protein_214,protein_277,molecule_4,molecule_74,7.6,1
DRG0HCLSH,protein_5,protein_148,protein_257,molecule_7,molecule_78,3.5,0
DRG0QYUVZ,protein_1,protein_144,protein_256,molecule_62,molecule_139,1.8,1
DRG0WWCCI,protein_103,protein_230,protein_312,molecule_5,molecule_75,3.9,0
DRG0JVWSM,protein_107,protein_179,protein_282,molecule_5,molecule_75,3.9,0
DRG0AFXBF,protein_24,protein_165,protein_271,molecule_16,molecule_91,2.0,1
DRG0MLPGR,protein_30,protein_162,protein_260,molecule_7,molecule_78,3.5,0
DRG0LPJRK,protein_42,protein_180,protein_283,molecule_8,molecule_79,4.0,1
DRG0UVWML,protein_12,protein_145,protein_257,molecule_6,molecule_88,3.5,0
DRG0LENDG,protein_99,protein_144,protein_256,molecule_5,molecule_75,3.9,0
DRG0SHHOP,protein_4,protein_147,protein_259,molecule_5,molecule_75,4.0,0
DRG0PFKFR,protein_114,protein_238,protein_279,molecule_5,molecule_75,4.0,1
DRG0KKMLW,protein_1,protein_144,protein_256,molecule_6,molecule_72,3.3,1
DRG0VKMEF,protein_52,protein_190,protein_260,molecule_7,molecule_84,3.5,0
DRG0KDTFA,protein_20,protein_161,protein_269,molecule_7,molecule_80,3.37,1
DRG0BBQSE,protein_49,protein_187,protein_289,molecule_5,molecule_75,3.8,1
DRG0PXQWR,protein_105,protein_188,protein_271,molecule_8,molecule_79,3.8,1
DRG0NCHJM,protein_1,protein_144,protein_256,molecule_5,molecule_75,4.0,1
DRG0YDZZJ,protein_92,protein_177,protein_280,molecule_5,molecule_75,3.9,0
DRG0VMKDY,protein_94,protein_223,protein_291,molecule_7,molecule_84,4.0,1
DRG0DEGEG,protein_67,protein_202,protein_285,molecule_12,molecule_85,2.7,1
DRG0UZQBB,protein_74,protein_207,protein_277,molecule_4,molecule_74,7.8,1
DRG0NEMOV,protein_50,protein_188,protein_271,molecule_5,molecule_75,3.0,1
DRG0WCVDN,protein_55,protein_193,protein_257,molecule_2,molecule_72,3.5,0
DRG0PTXBI,protein_27,protein_168,protein_271,molecule_19,molecule_75,4.0,1
DRG0TZZNJ,protein_112,protein_237,protein_302,molecule_14,molecule_131,2.0,1
DRG0XBANE,protein_25,protein_166,protein_260,molecule_7,molecule_80,3.5,1
DRG0ZDMEE,protein_38,protein_153,protein_257,molecule_7,molecule_84,3.5,0
DRG0HWQPF,protein_137,protein_230,protein_312,molecule_5,molecule_75,3.9,0
DRG0LGTWF,protein_31,protein_171,protein_275,molecule_15,molecule_90,6.0,1
DRG0YFLRB,protein_83,protein_216,protein_302,molecule_5,molecule_75,4.0,1
DRG0QZHYU,protein_32,protein_172,protein_276,molecule_5,molecule_75,4.0,1
DRG0NRFYZ,protein_25,protein_166,protein_260,molecule_2,molecule_72,3.5,0
DRG0XOIAM,protein_19,protein_153,protein_257,molecule_7,molecule_80,4.0,1
DRG0BQBRZ,protein_7,protein_150,protein_261,molecule_5,molecule_75,8.0,0
DRG0NUDUN,protein_34,protein_174,protein_273,molecule_6,molecule_76,3.5,1
DRG0BDZMF,protein_55,protein_193,protein_257,molecule_7,molecule_78,3.5,0
DRG0SLFJV,protein_33,protein_173,protein_277,molecule_4,molecule_74,7.6,1
DRG0WXQJL,protein_29,protein_170,protein_274,molecule_20,molecule_94,1.9,1
DRG0MIEKG,protein_1,protein_144,protein_256,molecule_37,molecule_128,8.0,1
DRG0VOHBK,protein_20,protein_161,protein_269,molecule_34,molecule_129,8.0,1
DRG0ELYWP,protein_134,protein_247,protein_275,molecule_6,molecule_76,3.5,1
DRG0UOYHC,protein_87,protein_177,protein_280,molecule_5,molecule_75,3.9,0
DRG0JBKMD,protein_31,protein_171,protein_275,molecule_15,molecule_90,7.6,1
DRG0AJQLB,protein_9,protein_152,protein_256,molecule_10,molecule_82,2.0,1
DRG0XKZBM,protein_7,protein_150,protein_261,molecule_8,molecule_79,3.0,0
DRG0KDLRL,protein_20,protein_161,protein_269,molecule_34,molecule_104,8.0,1
DRG0RWYVW,protein_10,protein_154,protein_263,molecule_30,molecule_83,4.0,1
DRG0YBEES,protein_10,protein_154,protein_263,molecule_26,molecule_83,4.0,1
DRG0LOXYS,protein_7,protein_192,protein_269,molecule_4,molecule_74,8.0,1
DRG0QITMW,protein_31,protein_171,protein_275,molecule_15,molecule_95,6.0,1
DRG0AVDEL,protein_1,protein_144,protein_256,molecule_24,molecule_93,3.9,1
DRG0BVXGD,protein_38,protein_153,protein_257,molecule_7,molecule_80,4.0,0
DRG0NTFBR,protein_22,protein_163,protein_270,molecule_14,molecule_73,2.0,1
DRG0NKVLE,protein_1,protein_144,protein_256,molecule_5,molecule_134,3.89,0
DRG0RMADH,protein_10,protein_154,protein_263,molecule_64,molecule_83,4.0,1
DRG0JCLOW,protein_59,protein_145,protein_257,molecule_6,molecule_76,3.5,0
DRG0SFDMO,protein_61,protein_197,protein_279,molecule_15,molecule_90,6.0,1
DRG0SHYWZ,protein_10,protein_154,protein_263,molecule_53,molecule_83,4.0,1
DRG0MKPHL,protein_10,protein_154,protein_263,molecule_22,molecule_83,3.8,1
DRG0ZRDFG,protein_20,protein_161,protein_269,molecule_24,molecule_93,4.0,1
DRG0MRDPL,protein_61,protein_197,protein_279,molecule_14,molecule_73,2.5,1
DRG0DNFUC,protein_1,protein_144,protein_256,molecule_5,molecule_77,2.0,1
DRG0QCXIA,protein_10,protein_154,protein_263,molecule_26,molecule_83,3.9,1
DRG0JEVIM,protein_89,protein_221,protein_256,molecule_5,molecule_75,4.0,1
DRG0GKOZH,protein_23,protein_164,protein_262,molecule_6,molecule_88,3.4,1
DRG0SZERO,protein_56,protein_194,protein_292,molecule_32,molecule_79,4.0,1
DRG0DKLRV,protein_140,protein_179,protein_282,molecule_5,molecule_75,3.9,0
DRG0QVIFA,protein_6,protein_149,protein_260,molecule_7,molecule_80,3.5,0
DRG0XFTRM,protein_100,protein_227,protein_310,molecule_5,molecule_75,1.9,1
DRG0XJKXB,protein_1,protein_144,protein_256,molecule_3,molecule_73,1.71,1
DRG0HONIM,protein_86,protein_219,protein_305,molecule_5,molecule_75,1.0,1
DRG0AKKJG,protein_2,protein_145,protein_257,molecule_7,molecule_78,3.5,0
DRG0UQTJG,protein_62,protein_198,protein_294,molecule_5,molecule_75,3.5,1
DRG0IYJMP,protein_28,protein_169,protein_273,molecule_43,molecule_80,4.25,0
DRG0LQZSE,protein_78,protein_211,protein_293,molecule_7,molecule_80,3.5,1
DRG0XABHQ,protein_10,protein_154,protein_263,molecule_54,molecule_83,0.8,1
DRG0VIDMZ,protein_1,protein_144,protein_256,molecule_24,molecule_93,3.8,1
DRG0GKHFY,protein_90,protein_161,protein_269,molecule_5,molecule_126,4.0,1
DRG0RGMND,protein_61,protein_197,protein_279,molecule_15,molecule_95,6.0,1
