id,heavy,light,antigen,playload,linker,dar,label
DRG0FBKIO,protein_10,protein_154,protein_263,molecule_27,molecule_83,4.0,1
DRG0EZNOG,protein_1,protein_144,protein_256,molecule_69,molecule_75,8.7,1
DRG0XPPOZ,protein_7,protein_150,protein_261,molecule_8,molecule_79,3.5,1
DRG0RAOZZ,protein_44,protein_179,protein_282,molecule_5,molecule_75,3.9,0
DRG0APAGQ,protein_55,protein_193,protein_257,molecule_7,molecule_84,3.5,0
DRG0NPPDL,protein_16,protein_159,protein_260,molecule_2,molecule_72,3.5,0
DRG0FRFEQ,protein_1,protein_144,protein_256,molecule_7,molecule_80,3.5,1
DRG0AZMWI,protein_126,protein_177,protein_280,molecule_5,molecule_75,3.9,0
DRG0IFKGK,protein_12,protein_145,protein_257,molecule_7,molecule_80,3.5,1
DRG0BREQP,protein_5,protein_148,protein_257,molecule_6,molecule_88,3.5,0
DRG0SPGJY,protein_128,protein_168,protein_271,molecule_5,molecule_75,3.2,1
DRG0ZBRFQ,protein_36,protein_173,protein_277,molecule_4,molecule_74,7.6,1
DRG0CXIUK,protein_1,protein_144,protein_256,molecule_5,molecule_92,3.7,1
DRG0YZGPN,protein_141,protein_252,protein_319,molecule_5,molecule_75,4.5,1
DRG0OPFVY,protein_14,protein_157,protein_266,molecule_5,molecule_75,2.0,1
DRG0BBRJG,protein_23,protein_164,protein_262,molecule_6,molecule_76,4.15,1
DRG0DIWSF,protein_28,protein_169,protein_273,molecule_7,molecule_84,4.0,1
DRG0IMAKZ,protein_91,protein_222,protein_302,molecule_5,molecule_75,4.0,1
DRG0FXPHR,protein_25,protein_166,protein_260,molecule_7,molecule_84,3.5,0
DRG0CIWNZ,protein_1,protein_144,protein_256,molecule_5,molecule_75,2.0,1
DRG0ZOYQV,protein_3,protein_146,protein_258,molecule_4,molecule_74,4.0,1
DRG0SDZSF,protein_11,protein_155,protein_264,molecule_7,molecule_84,3.5,1
DRG0BFNMH,protein_1,protein_144,protein_256,molecule_7,molecule_143,2.0,1
DRG0DKNMD,protein_24,protein_165,protein_271,molecule_5,molecule_100,5.57,1
DRG0NVGDG,protein_1,protein_144,protein_256,molecule_60,molecule_71,1.82,0
DRG0MQFRJ,protein_10,protein_154,protein_263,molecule_28,molecule_83,4.0,1
DRG0YRRUO,protein_16,protein_159,protein_260,molecule_6,molecule_88,3.5,0
DRG0DSCQI,protein_10,protein_154,protein_263,molecule_28,molecule_83,4.1,1
DRG0AZRNL,protein_113,protein_186,protein_288,molecule_5,molecule_75,2.0,1
DRG0TVFCB,protein_24,protein_165,protein_271,molecule_21,molecule_100,5.57,0
DRG0VZBJX,protein_16,protein_159,protein_260,molecule_7,molecule_80,3.5,0
DRG0NMQRS,protein_64,protein_199,protein_280,molecule_5,molecule_75,3.9,0
DRG0VSAIC,protein_21,protein_162,protein_260,molecule_7,molecule_80,4.0,1
DRG0IRZIB,protein_111,protein_236,protein_314,molecule_5,molecule_75,4.0,1
DRG0JDEVM,protein_24,protein_165,protein_271,molecule_7,molecule_80,3.5,1
DRG0ZTDVE,protein_39,protein_177,protein_280,molecule_5,molecule_75,3.9,0
DRG0FSONA,protein_2,protein_153,protein_257,molecule_7,molecule_84,3.5,0
DRG0EBYCR,protein_23,protein_164,protein_262,molecule_6,molecule_76,3.75,1
DRG0RHAZG,protein_51,protein_189,protein_290,molecule_5,molecule_75,4.0,1
DRG0MNHFT,protein_1,protein_144,protein_256,molecule_47,molecule_73,7.47,1
DRG0ZNAID,protein_132,protein_246,protein_271,molecule_67,molecule_147,2.0,1
DRG0EPORB,protein_1,protein_144,protein_256,molecule_7,molecule_80,1.0,1
DRG0TGDZM,protein_6,protein_149,protein_260,molecule_6,molecule_76,3.5,0
