id,heavy,light,antigen,playload,linker,dar,label
DRG0JRLNT,protein_21,protein_162,protein_260,molecule_7,molecule_84,3.5,0
DRG0ONOKP,protein_1,protein_144,protein_256,molecule_5,molecule_71,3.6,0
DRG0APLYI,protein_55,protein_193,protein_257,molecule_6,molecule_88,3.5,0
DRG0WYBYC,protein_38,protein_153,protein_257,molecule_6,molecule_88,3.5,0
DRG0CDKOV,protein_38,protein_153,protein_257,molecule_6,molecule_76,3.5,0
DRG0GIEDE,protein_24,protein_165,protein_271,molecule_21,molecule_75,5.5,0
DRG0FQLWO,protein_10,protein_154,protein_263,molecule_26,molecule_83,2.0,1
DRG0DYMWP,protein_10,protein_154,protein_263,molecule_22,molecule_83,3.8,1
DRG0HPUIL,protein_8,protein_151,protein_262,molecule_9,molecule_81,4.0,1
DRG0BBHGW,protein_34,protein_174,protein_273,molecule_6,molecule_76,3.5,1
DRG0XODQO,protein_20,protein_161,protein_269,molecule_5,molecule_114,4.0,1
DRG0AWQJG,protein_110,protein_235,protein_256,molecule_59,molecule_75,4.0,1
DRG0HDIEW,protein_20,protein_161,protein_269,molecule_7,molecule_89,3.4,1
DRG0EJGRP,protein_60,protein_196,protein_265,molecule_9,molecule_105,4.3,1
DRG0EWRAI,protein_5,protein_148,protein_257,molecule_6,molecule_76,3.5,1
DRG0RINVT,protein_1,protein_144,protein_256,molecule_58,molecule_149,2.96,0
DRG0RVKKH,protein_10,protein_154,protein_263,molecule_23,molecule_83,2.0,1
DRG0UIZAJ,protein_19,protein_153,protein_257,molecule_6,molecule_76,3.5,0
DRG0RYBMQ,protein_1,protein_144,protein_256,molecule_7,molecule_80,3.6,1
DRG0QBGIW,protein_10,protein_154,protein_263,molecule_35,molecule_83,4.0,1
DRG0FCQNM,protein_83,protein_216,protein_302,molecule_5,molecule_75,4.0,1
DRG0AKFYV,protein_101,protein_228,protein_277,molecule_4,molecule_74,8.0,1
DRG0CLBRQ,protein_122,protein_144,protein_256,molecule_5,molecule_75,3.9,0
DRG0CYMEB,protein_1,protein_144,protein_256,molecule_7,molecule_80,3.5,1
DRG0XTMJF,protein_45,protein_183,protein_285,molecule_12,molecule_85,2.5,0
DRG0KSUSP,protein_30,protein_162,protein_260,molecule_6,molecule_88,3.5,0
DRG0PYNQC,protein_55,protein_193,protein_257,molecule_6,molecule_76,3.5,0
DRG0OGAUZ,protein_2,protein_153,protein_257,molecule_7,molecule_78,3.5,0
DRG0HCIWE,protein_30,protein_162,protein_260,molecule_7,molecule_84,3.5,0
DRG0FFJIH,protein_60,protein_196,protein_265,molecule_9,molecule_96,2.0,1
DRG0UYWZI,protein_66,protein_201,protein_296,molecule_5,molecule_75,4.01,1
DRG0KUNBK,protein_1,protein_144,protein_256,molecule_5,molecule_77,12.0,1
DRG0FUFBP,protein_96,protein_225,protein_307,molecule_14,molecule_73,2.25,1
DRG0QQKLF,protein_1,protein_144,protein_256,molecule_15,molecule_73,3.3,0
DRG0LNVKG,protein_121,protein_144,protein_256,molecule_8,molecule_144,1.9,1
DRG0KONEC,protein_8,protein_151,protein_262,molecule_9,molecule_105,4.49,1
DRG0INUVS,protein_8,protein_151,protein_262,molecule_6,molecule_76,3.75,0
DRG0CPRDL,protein_2,protein_145,protein_257,molecule_6,molecule_76,3.5,0
DRG0BZNZA,protein_118,protein_144,protein_256,molecule_5,molecule_75,3.9,1
DRG0OKMOL,protein_1,protein_144,protein_256,molecule_15,molecule_136,3.8,1
DRG0GTLUP,protein_1,protein_182,protein_256,molecule_5,molecule_75,3.6,0
DRG0EWQKX,protein_76,protein_209,protein_299,molecule_5,molecule_75,4.0,1
DRG0KEWNA,protein_16,protein_159,protein_260,molecule_7,molecule_84,3.5,0
DRG0HEJWD,protein_95,protein_224,protein_306,molecule_57,molecule_132,2.0,1
DRG0XCWMD,protein_28,protein_169,protein_273,molecule_6,molecule_76,3.5,1
DRG0NYFRQ,protein_119,protein_241,protein_256,molecule_5,molecule_75,4.8,1
DRG0FSHFZ,protein_1,protein_144,protein_256,molecule_66,molecule_94,2.0,0
